,OK=0,Ground motion,Load factor,E - glob,Gl Drift,Gl Drift - class,Element ID,Section ID (E el.),E el.,Section ID (PA el.),PA el.,PA el. - class
0,0,BIGBEAR_DHP090,1,12.552868661399472,0.6886714285714286,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5]","[10.047607747661731, 9.687376483215209, 9.66027280570717, 10.294205367668468, 2.5898393541124536, 0.0690976586731642, 1.9539866955566934, 0.06044620235616185, 0.3031751829576508, 0.34064392414806766, 0.0666022684477348, 0.036337973089944166, 0.01124303881309354, 0.0343505283087678, 0.0038489241518543443, 0.019045198249063526, 0.01972067518298713, 0.0031370767308547772, 0.0008605317811410125, 0.0001788614017374764, 0.0008109312816691027]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1, 1, 1]","[2.319460341710914, 2.068066251543711, 2.064453209780519, 2.2288861400821056, 2.0253164463940307, 0.3120087839622298, 1.7509070503963353, 0.16553969296158602, 0.33306501469970967, 0.38061152370737833, 0.18001100189346753, 0.23389639685734817, 0.16709349949511126, 0.2313302094262092, 0.08467745242149566, 0.11417640206601125, 0.12148349323519872, 0.07859247179783341, 0.08164422456186886, 0.0788104961646595, 0.08499901937025457]","['Collapse', 'Collapse', 'Collapse', 'Collapse', 'Collapse', 'Moderate', 'Collapse', 'Minor', 'Moderate', 'Moderate', 'Minor', 'Moderate', 'Minor', 'Moderate', 'No damage', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage']"
1,0,el_centro,1,1.2458458607901977,0.2791851428571429,Minor,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1]","[0.13476357614420445, 0.20338917510080592, 0.20354658139063467, 0.12972856858825896, 0.08559603545322508, 0.022137741699222727, 0.05148627024460274, 0.019607840695685566, 0.08986738460679163, 0.09005477012469205, 0.010365301128621145, 0.01797660586344263, 0.007369268079497162, 0.013351474048302732, 0.0027591581206470508, 0.005675185807560528, 0.0065887840277041865, 0.00043406767854381944, 0.0008640910085116289, 0.0007838860728522996, 0.0009044936783449034]","[1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1]","[0.234766496204736, 0.2854721105448957, 0.2797777878348521, 0.24335992650023167, 0.3217531506000673, 0.1888565726864063, 0.2570535888889018, 0.1240796314597846, 0.20401462958495892, 0.2037963643021368, 0.09516347957985896, 0.180093999009584, 0.14044337653660005, 0.1641925604739924, 0.07334583884632331, 0.0872268270997008, 0.09151778871993142, 0.061701549907452975, 0.07191571501619974, 0.07062046981172289, 0.07586681211672473]","['Moderate', 'Moderate', 'Moderate', 'Moderate', 'Moderate', 'Minor', 'Moderate', 'Minor', 'Moderate', 'Moderate', 'No damage', 'Minor', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']"
2,0,HECTOR_12543090,1,0.1998658518055516,0.101866,No damage,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[0.0035156669543348154, 0.008004070204871833, 0.008000845747818829, 0.0035241893441785455, 0.0010945529449527332, 0.00048646091060209555, 0.0011430942905174394, 0.0008479288523308482, 0.003126682388496433, 0.003147773985360641, 0.0008291878258128341, 0.00041151159417743396, 0.0001748286226457424, 0.0004195385602000523, 8.723635513833105e-05, 0.000351408045175933, 0.00035227612139687655, 0.00010214767868660116, 2.539081485999957e-05, 2.8002637370000725e-05, 2.6510683931620433e-05]","[1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 1, 1]","[0.06314213963979463, 0.07246031313534441, 0.07138814562412044, 0.06858958237974454, 0.09924395724674905, 0.08734609813208764, 0.09646848335976149, 0.049012850082721916, 0.05621393180955554, 0.05481352752246122, 0.05148607648244149, 0.07941952824237992, 0.07373316706566392, 0.07820436306931945, 0.03739038194704914, 0.031331255722065125, 0.03192480081880789, 0.03691755659345254, 0.04637327204299494, 0.043865445718157335, 0.046734588723959525]","['No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']"
3,-1,HECTOR_22170360,1,5.36038295668909,0.35688,Minor,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[0.6477797512172607, 0.8231230151957846, 0.9307161914116903, 0.5899006606366728, 0.3027613755884834, 0.16661502621411364, 0.5455366520367128, 0.11366414180027039, 0.4301592551916648, 0.42860109216592557, 0.14674480283041672, 0.11989930480444903, 0.08247667102881599, 0.1500341026016014, 0.013371243194516907, 0.08486914236033771, 0.07611089712452251, 0.04147369383621594, 0.019595112919278145, 0.016988556554173556, 0.019817009888460586]","[1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[0.45530379470405313, 0.48891341425076285, 0.5515859024485013, 0.3878274637406579, 0.3777061466940169, 0.25591678686258473, 0.5686410674095571, 0.13731187614032117, 0.31019186403547494, 0.31097441713764346, 0.16366692345813938, 0.2109925034114941, 0.17108659172750254, 0.23822868390742624, 0.07200563890418911, 0.11837096984603712, 0.11075547715876621, 0.08368606714233402, 0.0846827789064206, 0.07901456825152386, 0.08082848703186393]","['Moderate', 'Moderate', 'Severe', 'Moderate', 'Moderate', 'Moderate', 'Severe', 'Minor', 'Moderate', 'Moderate', 'Minor', 'Moderate', 'Minor', 'Moderate', 'No damage', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage']"
4,-1,HECTOR_HEC090,1,9.031872465825414,0.5303,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1]","[3.3020592925609504, 3.8826066603527964, 3.846375580804295, 3.5049357313257268, 0.7596600750292118, 0.19273937254122356, 1.8756279403465008, 0.18211602288035098, 0.5963305070281711, 0.5803083763822139, 0.13927085360135713, 0.14136689246401568, 0.0794851006588633, 0.11178968868351621, 0.036720337104769324, 0.08366402806025598, 0.08712832732733383, 0.01454024833815962, 0.01760571979560431, 0.01554994555656778, 0.017412582953146724]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[1.3731726767118089, 1.3296422349164014, 1.375065022692075, 1.2693521504959024, 0.6991168247942886, 0.35653391544490987, 1.695972505332667, 0.1771434658001554, 0.3866959956168657, 0.3618831425504548, 0.1710336502193004, 0.24247503464803702, 0.19041490047125134, 0.25193098790479057, 0.07752312925756756, 0.15106336390396777, 0.14144033498157502, 0.09981236896796541, 0.09189708286844052, 0.0833639659538244, 0.09217098102639712]","['Collapse', 'Collapse', 'Collapse', 'Collapse', 'Severe', 'Moderate', 'Collapse', 'Minor', 'Moderate', 'Moderate', 'Minor', 'Moderate', 'Minor', 'Moderate', 'No damage', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage']"
5,0,IMPVALL_H-AEP045,1,7.96972765653629,0.5046542857142857,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 1, 1]","[5.92256484100084, 5.913066980533871, 5.661548328123478, 4.623970820688938, 0.18627415043028217, 0.0996621034667106, 4.219640923563324, 0.07125681757011953, 0.3014028167058398, 0.2611909638065108, 0.03968523062545318, 0.02993447462407291, 0.014182005270561694, 0.03545906613622199, 0.0041576024715338404, 0.021665760045087353, 0.01956701235412444, 0.002973206573960018, 0.0013703157335050466, 0.0010250193240723912, 0.0009058528834837334]","[1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[1.3606784926646738, 1.3294000768101464, 1.3196886297676516, 1.1730162594128035, 0.4251693351264556, 0.37634302623361443, 2.04726804337876, 0.19255580670210293, 0.40151093989910436, 0.3637099256595864, 0.16696315610131607, 0.2302428329218274, 0.18266833681006706, 0.23931367277103166, 0.07675898832530878, 0.12860804080403795, 0.11904951041882907, 0.08821545870861958, 0.0866119772560159, 0.08071283035664653, 0.08429513763400752]","['Collapse', 'Collapse', 'Collapse', 'Collapse', 'Moderate', 'Moderate', 'Collapse', 'Minor', 'Moderate', 'Moderate', 'Minor', 'Moderate', 'Minor', 'Moderate', 'No damage', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage']"
6,0,IMPVALL_H-BRA225,1,0.33389166080703714,0.12537628571428572,No damage,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1, 1, 1]","[0.005567528781829317, 0.012270441845873201, 0.012243791934916986, 0.005998055880837496, 0.0016004447265031748, 0.0007158276863422006, 0.0015425668727251096, 0.0010396936340639849, 0.0043685573116490845, 0.00431599393838626, 0.001179605794407285, 0.0006134509809961669, 0.0003622785492394028, 0.0005885937929521294, 0.00026442553650444676, 0.0007111638623490894, 0.0007046782737515926, 0.00019541574496596955, 6.728094052715862e-05, 6.024065028249954e-05, 6.455118716250006e-05]","[1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1]","[0.07902873429450726, 0.0902789520419484, 0.08925456757345328, 0.0849721002681066, 0.10895753972715222, 0.0955975070545915, 0.10804988272178269, 0.055489012303579575, 0.06926444747374691, 0.06784871679541936, 0.06019678076981939, 0.09145000216474401, 0.08428937750644154, 0.09104333278871815, 0.04294088696239347, 0.044058245112646194, 0.04120920818495062, 0.045539551889167654, 0.05318249343008283, 0.049330868647677904, 0.05110766776457993]","['No damage', 'No damage', 'No damage', 'No damage', 'Minor', 'No damage', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']"
7,0,IMPVALL_H-CHI282,1,19.21776445508403,1.1673171428571427,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5]","[14.41185178492047, 14.1957637740194, 14.036561935209718, 14.653343809322504, 2.555271669453508, 0.09956764934700386, 0.2185146597844979, 0.04439929455222534, 0.24117740043419295, 0.27695235955800296, 0.05540524137993886, 0.03348731549933503, 0.012064583703676069, 0.028735251162853248, 0.004579769974731836, 0.022902260203527435, 0.023121785167979778, 0.004442586678175826, 0.0012052615171060448, 0.0001647063173902902, 0.0009867584154989962]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 5, 1, 1]","[3.7258737399435025, 3.645662922200372, 3.6480223530956986, 3.6812443015461684, 1.9086355157053623, 0.36700531821013577, 0.485229108681614, 0.16159305271659213, 0.31037321682117663, 0.35411673349323625, 0.15707781397564255, 0.22126476607632897, 0.16062154249254743, 0.21245896908461345, 0.08319292001614259, 0.11974777724806888, 0.11684918161627392, 0.08616229331495211, 0.08492623628388259, 0.07778354102475847, 0.08373419009969671]","['Collapse', 'Collapse', 'Collapse', 'Collapse', 'Collapse', 'Moderate', 'Moderate', 'Minor', 'Moderate', 'Moderate', 'Minor', 'Moderate', 'Minor', 'Moderate', 'No damage', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage']"
8,0,IMPVALL_H-CMP015,1,2.7815783893309085,0.25842828571428567,Minor,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1]","[0.263235459867356, 0.4270511020535793, 0.42643951857494733, 0.2617043097536218, 0.09282724887277763, 0.025959180097435877, 0.09446027733787105, 0.028781987205849836, 0.153299660330996, 0.15347742208326448, 0.02597193855900687, 0.018358663179210175, 0.009185592381440918, 0.014399702837887067, 0.0050220522722792225, 0.010183671699229943, 0.010395502158150792, 0.0018284058024437, 0.0014348995059534995, 0.0012150481839964728, 0.001484446140372151]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 1]","[0.24709463766116802, 0.28574389482438645, 0.2902901229336776, 0.23971259408981263, 0.27697526104723175, 0.18071841237450578, 0.2981715259782823, 0.11016473030597893, 0.18576244968783098, 0.18539018444835445, 0.115137747686086, 0.1545871771812641, 0.12967403042256984, 0.1594210744521151, 0.0672148966747854, 0.07720454389269321, 0.07652354852971298, 0.06569348606708039, 0.06968153517511794, 0.06532295887909875, 0.07017533972093783]","['Moderate', 'Moderate', 'Moderate', 'Moderate', 'Moderate', 'Minor', 'Moderate', 'Minor', 'Minor', 'Minor', 'Minor', 'Minor', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']"
9,-1,IMPVALL_H-CXO225,1,9.857373066395438,0.5102114285714285,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[2.2954731476265438, 2.8627142338586573, 2.9106500137576927, 2.616473075894001, 2.2225095197898104, 0.16691564795986866, 0.6550475629227972, 0.1744886219055122, 1.2847299542615747, 1.532546179458668, 0.2454978296954838, 0.196272628276191, 0.11893218565107264, 0.2916693408598328, 0.04357356850899645, 0.26398638624414844, 0.24463104756679882, 0.08844244254819617, 0.031410718983862586, 0.025637649157945613, 0.03445032626124012]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[1.0351603141754746, 1.2681936082465066, 1.2584988821227734, 1.2923163281535857, 2.009610125656097, 0.403454442751073, 0.6176498154825197, 0.18555722071075745, 0.7126969920963766, 0.8020360972642326, 0.2672316640325563, 0.2986036867946788, 0.20895558067986555, 0.35740197003915725, 0.10604965607448603, 0.2273386484448262, 0.21269913451815137, 0.12420810354446919, 0.10491930332820813, 0.09505908615618947, 0.10592635353853763]","['Collapse', 'Collapse', 'Collapse', 'Collapse', 'Collapse', 'Moderate', 'Severe', 'Minor', 'Severe', 'Severe', 'Moderate', 'Moderate', 'Moderate', 'Moderate', 'Minor', 'Moderate', 'Moderate', 'Minor', 'Minor', 'No damage', 'Minor']"
