,OK=0,Ground motion,Load factor,E - glob,Gl Drift,Gl Drift - class,Element ID,Section ID (E el.),E el.,Section ID (PA el.),PA el.,PA el. - class
0,0,BIGBEAR_DHP090,1,4.263752977760102,0.4252457142857143,Minor,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5]","[2.795084339258225, 2.758272796800812, 2.7112774064180734, 2.9718483864998073, 0.04595591974724683, 0.005648202612540208, 0.04103488278897774, 0.041680594338416185, 0.17888102616158835, 0.17943787711725978, 0.04198934073900434, 0.006014512237977086, 0.0013583814763067884, 0.005286141545280015, 0.0017947527085389364, 0.008508464478592697, 0.008568483519551886, 0.0017984866451380933, 0.00025262080684162265, 5.712911480960509e-05, 0.00027148604633456025]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 5, 1, 1]","[0.435915635943503, 0.4360459255960263, 0.4218537792496574, 0.46209883662215734, 0.044455538620609115, 0.025657432525775008, 0.040340675038515905, 0.05640640750277229, 0.09743545661947099, 0.09750860794475037, 0.05271929745942682, 0.02563664505131661, 0.020201023814128444, 0.024694061384105445, 0.025467218587554477, 0.03155292862646926, 0.033021121697970654, 0.024684170536396294, 0.010739083533597983, 0.01051043775903299, 0.010965501096635485]","['Moderate', 'Moderate', 'Moderate', 'Moderate', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']"
1,0,BORREGO_A-ELC180,1,0.16804104351921303,0.11530714285714284,No damage,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5]","[0.006514686268948506, 0.014013822106872603, 0.014194159852315575, 0.006083144780678803, 0.001319647653587509, 0.0008544700635629201, 0.0014453363688763771, 0.001566598560496089, 0.005657691888807547, 0.005714108015480962, 0.0018073585123261318, 0.0006032747649845531, 0.0004673784387641865, 0.0007515392017180844, -1.2543490621860316e-06, 0.0006130992438554904, 0.0005883418061141211, 0.00035239824375433624, 0.00013006227784250173, 0.00011925588811100007, 0.00010059341738530639]","[1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1]","[0.027354153908253798, 0.0291367822190873, 0.02950984895808771, 0.023717970936387407, 0.016218980401486536, 0.013968627426096142, 0.01618648720976538, 0.02024397944694528, 0.022785119746322906, 0.023294163524661522, 0.017751190063320592, 0.012665157699629176, 0.011725791381117208, 0.012771957171402925, 0.01390964697430547, 0.012164373800048702, 0.013004587397618235, 0.012592904099345766, 0.006692676860129414, 0.006734190762633912, 0.0071183090741913715]","['No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']"
2,0,CAPEMEND_EUR090,1,1.6282324206451972,0.2679457142857143,Minor,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[0.21633077921101965, 0.35106804302844546, 0.34730905078426744, 0.23181295212973943, 0.021185975383933593, 0.008863702657172703, 0.033682334541204575, 0.02270260492666925, 0.13881706195853497, 0.13782460185127995, 0.03222302336103946, 0.00616364276956395, 0.004132512944803409, 0.008287702465431535, 0.0017278599865940226, 0.010061433582111623, 0.009388971647708319, 0.0041884802703681025, 0.0008103808405935958, 0.0006994983689171338, 0.000759965373610343]","[1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[0.10135020790601156, 0.11489289195431016, 0.11714470227249073, 0.09725219902779567, 0.030076926925368137, 0.023336720492265477, 0.03517978671570123, 0.03662548855363142, 0.072385167582448, 0.07226954390405489, 0.04435239795261495, 0.021406186472170328, 0.018933299329110725, 0.02314547221881316, 0.021795488018083946, 0.02963187241604379, 0.02840677650716917, 0.024208515192886654, 0.01050007692044001, 0.009928669492788556, 0.009958092507737572]","['Minor', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']"
3,0,CAPEMEND_FOR090,1,0.21323367383036498,0.12868542857142856,No damage,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 3, 1, 1, 1]","[0.008952834702040512, 0.01759522265976728, 0.017817591495643513, 0.007314911931387002, 0.0033584763166777656, 0.0020741896505572454, 0.002953010007374505, 0.0033114489584515185, 0.008538328028240014, 0.008735636705229227, 0.0012353678373781083, 0.0018979738987281753, 0.0014206306767309514, 0.00175193068426414, 0.0009952045254646587, 0.0011665198757634073, 0.001316609945282455, -3.7150256863891534e-06, 0.0003212929431189488, 0.00038483943877400193, 0.00042785337373449936]","[1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 5, 5, 1]","[0.028081228953614718, 0.030123218308457687, 0.030501614237394732, 0.02581700937885141, 0.017134613841834966, 0.014648009752455764, 0.0169715720107184, 0.022036522607206538, 0.025508035376122305, 0.026027647883904267, 0.021287001192164236, 0.014047821606594074, 0.012735287526209053, 0.01393580913559874, 0.015776699461324463, 0.015766146507540837, 0.01567098707797606, 0.01584158232018558, 0.007747627548764869, 0.007263127872727217, 0.007713999573667444]","['No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']"
4,0,CAPEMEND_RIO270,1,15.5608961729314,0.7182171428571429,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 3, 5]","[12.550394983075119, 12.624942230549964, 12.579516365232525, 13.187495551404377, 0.053767180615273205, 0.007780444794760092, 0.062051706499828115, 0.05075695477025715, 0.2226625754564419, 0.2239148461687589, 0.06160085260350639, 0.004595208644528735, 0.0022478255873043082, 0.010094699320433024, 0.0032308526269000234, 0.01696363269700779, 0.015625191430685616, 0.002878876394175628, 0.0003993825758352234, 9.146570345500003e-05, 0.0005388809241826356]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 1]","[1.17881236502546, 1.1529435801108907, 1.157681480446916, 1.1907698830202886, 0.042377294792907104, 0.027130502459073884, 0.050993780830859065, 0.05510079369268159, 0.11884812646296912, 0.11965421265659167, 0.06829639696407948, 0.025125059426366034, 0.02181009620190635, 0.028223691011892888, 0.028730091941934547, 0.0375820421743367, 0.036459607097912225, 0.026711309009543927, 0.011644581533281469, 0.011242155671527351, 0.011431801764014496]","['Collapse', 'Collapse', 'Collapse', 'Collapse', 'No damage', 'No damage', 'No damage', 'No damage', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']"
5,0,CHALFANT_A-BEN360,1,0.6338652745212797,0.2446748571428571,Minor,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1]","[0.14635090042666352, 0.1920186423068029, 0.19177196461728363, 0.14274818929642258, 0.012946681141808409, 0.002386456921899327, 0.01185166673712908, 0.009343966059594118, 0.049391361141499085, 0.04951863769564195, 0.00734880955061365, 0.0018235237173768353, 0.0008970339406774448, 0.0012461734583606838, 0.0009551728494184915, 0.002205696017078546, 0.002282304473848473, 0.0004861839799395935, 0.0001597927778097421, 0.00012637466959550053, 0.00012747223676036132]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1]","[0.08695363439785891, 0.09612130128457365, 0.09744466507508462, 0.0844433336597445, 0.03018590582220826, 0.02143845670876972, 0.029634105547483545, 0.0364269032910699, 0.05336727526876399, 0.05373145302972909, 0.033958064976650174, 0.019851403179497233, 0.016964381288648675, 0.018827682270157686, 0.020701699814639877, 0.02251533249332855, 0.023424460509728774, 0.01867717881109568, 0.00868692073295112, 0.008825123031870176, 0.009335908372107238]","['No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']"
6,0,CHALFANT_A-LAD270,1,11.176224560929816,0.6662428571428571,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5]","[10.091887318205904, 9.079065002955115, 9.0242113131875, 10.636683049031753, 0.07126825760729531, 0.0075750182295340526, 0.06310360198694924, 0.09742897618781873, 0.33051763427477526, 0.3281222787652768, 0.09760515585815062, 0.013144843833007536, 0.002982304661051929, 0.00827479482987624, 0.004588890281088122, 0.021116687812443115, 0.023092843020298657, 0.0017001213043075104, 0.0006038504202372547, 0.00019216731138655183, 0.00020288090258734943]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1, 1, 1]","[1.0195623297335772, 0.937071998659838, 0.941868109439886, 1.0296201259204416, 0.05149656691975621, 0.02726237845915991, 0.0473411946162916, 0.07797700250028386, 0.13954467413369107, 0.1375412685148087, 0.06940886043210269, 0.030883765631283356, 0.022737842222490298, 0.027141805737430334, 0.031141227826805878, 0.04410621094831169, 0.0470341725223922, 0.025605903040895175, 0.012378676275390502, 0.011904646204807169, 0.012581835019841052]","['Collapse', 'Severe', 'Severe', 'Collapse', 'No damage', 'No damage', 'No damage', 'No damage', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']"
7,0,CHALFANT_A-ZAK360,1,21.319566636845845,1.4155142857142855,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5]","[16.048826454180293, 16.510535031597286, 16.07548825868266, 17.774882531292207, 0.06518630509518487, 0.006814459212212247, 0.06746178844205089, 0.06113054001043616, 0.2610679111153766, 0.2544249680719185, 0.06094940432770404, 0.007937965401098578, 0.002357191674598309, 0.008506517849231312, 0.002928190162800454, 0.017885556411184327, 0.014334545086374308, 0.0028241199663892403, 0.0007390624801513137, 0.00036522875300806974, 0.0005065870818738503]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[1.9953811892482218, 1.9863459333537157, 1.973374105263896, 2.0462130916650256, 0.04673716803790915, 0.026215015540206527, 0.05227023374975829, 0.056579950475734546, 0.12760256257261268, 0.12575282974277516, 0.06538328759702101, 0.025858045846584483, 0.02256730859952101, 0.027683935246018435, 0.025219347111390712, 0.04288407224512524, 0.03817446207602699, 0.027343189269112674, 0.011947049261510767, 0.011998453115051638, 0.011183979110139165]","['Collapse', 'Collapse', 'Collapse', 'Collapse', 'No damage', 'No damage', 'No damage', 'No damage', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']"
8,0,CHALFANT_B-ZAK270,1,17.699404852310952,0.7587885714285715,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 1, 1, 5]","[13.229822145745185, 12.808798068281986, 12.73290489386882, 12.820062184812093, 0.09228786430261286, 0.007281546577163782, 0.06763973728685237, 0.1588698899739466, 1.0510774134280116, 1.22147648514256, 0.1487583127334741, 0.02377010360214471, 0.0041368024093498485, 0.01136661449495897, 0.012591242133490412, 0.05611060636097164, 0.06497699608058866, 0.0038457797721173385, 0.0007279220710205188, 0.00038712467514681235, 0.0004658335650807301]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1]","[1.2143144027382502, 1.2000218001914233, 1.1840047537852052, 1.221531369073738, 0.06196304004879111, 0.027696512030680537, 0.04678819745704678, 0.11172466378421114, 0.30120461472644555, 0.33082463710707316, 0.10932624039805013, 0.03743990410586606, 0.025069667528578823, 0.03119817903030986, 0.04114995641822989, 0.07026120672864307, 0.07532709108618793, 0.027268126354491863, 0.014766876431427853, 0.013868940534418318, 0.014288700925598167]","['Collapse', 'Collapse', 'Collapse', 'Collapse', 'No damage', 'No damage', 'No damage', 'Minor', 'Moderate', 'Moderate', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']"
9,0,CHICHI03_CHY080-E,1,8.595130400027411,0.7912600000000001,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 3, 5]","[7.212243746149535, 6.757837175402336, 6.877868550121636, 6.815898693471297, 0.033290706922119606, 0.004013702442787918, 0.02901621147697226, 0.014472914565412191, 0.08713218083567235, 0.0849782917252082, 0.01168823538625556, 0.002426123788188387, 0.0007073667222662213, 0.003009958618585508, 0.0012721766428365013, 0.006022449547311086, 0.0052072404892204655, 0.0020786898629224114, 0.0003243179385412244, 9.399247659500006e-05, 0.00042055759099190516]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[0.9703789387315606, 0.954073150915239, 0.9531538996949294, 0.9796945442864113, 0.04148026484714229, 0.025022198543123146, 0.03614452897787719, 0.043487456761146716, 0.07208308379997873, 0.0715920061394633, 0.036136256823629864, 0.02134069575668205, 0.019297765630744836, 0.022170460808785764, 0.020833614844020264, 0.03408093310532365, 0.03247891170856781, 0.02692167568348407, 0.011209365813506386, 0.010604363378808204, 0.011044840256115978]","['Severe', 'Severe', 'Severe', 'Severe', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']"
